#MEM	NOPs	L2 miss	TLB miss RDTSC cycles
11	:	1	:	10	:	799	:	428
11	:	10	:	11	:	1684	:	408
11	:	50	:	10	:	814	:	432
11	:	75	:	10	:	818	:	417
11	:	100	:	10	:	806	:	415
11	:	110	:	11	:	1553	:	435
11	:	120	:	10	:	805	:	418
11	:	130	:	10	:	823	:	415
11	:	140	:	11	:	1625	:	435
11	:	150	:	11	:	1812	:	445
11	:	160	:	10	:	750	:	492
11	:	170	:	10	:	819	:	519
11	:	180	:	10	:	816	:	553
11	:	182	:	10	:	759	:	536
11	:	183	:	10	:	793	:	537
11	:	184	:	10	:	793	:	563
11	:	186	:	10	:	850	:	568
11	:	188	:	10	:	731	:	555
11	:	189	:	10	:	778	:	550
11	:	190	:	10	:	771	:	567
11	:	191	:	10	:	839	:	566
11	:	192	:	10	:	807	:	556
11	:	193	:	10	:	773	:	558
11	:	194	:	10	:	764	:	567
11	:	195	:	10	:	758	:	562
11	:	196	:	10	:	831	:	553
11	:	197	:	10	:	762	:	559
11	:	198	:	10	:	761	:	567
11	:	199	:	10	:	837	:	563
11	:	200	:	10	:	782	:	550
11	:	210	:	10	:	755	:	559
